<<<<<<< HEAD
illness_name,same_name,illness2_name
=======
illness_name,same_name,illness_name
>>>>>>> 6a4e0acfb4764e2a9fa0d967125440562beb8d1d
附睾结核,another_names,结核性附睾炎
泌尿生殖系放线菌病,another_names,泌尿生殖系统放射菌病
夸赛纳森林病,another_names,猴病
夸赛纳森林病,another_names,基萨那森林热
夸赛纳森林病,another_names,基萨奴尔森林病
夸赛纳森林病,another_names,基亚萨努森林病
夸赛纳森林病,another_names,库阿撒鲁尔森林热
科罗拉多蜱热,another_names,科罗拉多壁虱热
科罗拉多蜱热,another_names,科罗拉多蜱传热
科罗拉多蜱热,another_names,美洲山岭蜱热
科罗拉多蜱热,another_names,山岭热
肺芽生菌病,another_names,肺酿母菌病
肺芽生菌病,another_names,吉尔克斯病
肺芽生菌病,another_names,支气管芽生菌病
西伯利亚立克次体斑疹热,another_names,北亚斑点热
西伯利亚立克次体斑疹热,another_names,北亚立克次体斑疹热
西伯利亚立克次体斑疹热,another_names,北亚蜱传斑点热
西伯利亚立克次体斑疹热,another_names,北亚蜱传斑疹伤寒
自身免疫性肝病,another_names,肝外免疫性疾病
前列腺钙灶化灶,another_names,前列腺纤维化 
小儿利斯特菌病,another_names,小儿李氏杆菌病
小儿利斯特菌病,another_names,小儿李司忒菌病
小儿利斯特菌病,another_names,小儿李斯特菌病
弗郎西丝菌肺炎,another_names,弗朗西斯氏菌肺炎
弗郎西丝菌肺炎,another_names,土拉热弗郎西丝菌肺炎
阴茎癌,another_names,阴茎恶性肿瘤
生殖器念珠菌病,another_names,念珠菌性外阴阴道炎
生殖器念珠菌病,another_names,念珠菌性龟头包皮炎
小儿脾外伤,another_names,小儿脾破裂
利斯特菌脑膜炎,another_names,单核细胞增多性李司忒菌脑膜炎
利斯特菌脑膜炎,another_names,单核细胞增多性李司忒氏菌脑膜炎
利斯特菌脑膜炎,another_names,李斯特菌脑膜炎
小儿脑膜炎球菌性肾上腺综合征,another_names,小儿暴发型休克型流脑
小儿脑膜炎球菌性肾上腺综合征,another_names,小儿暴发型紫癜性脑膜炎球菌血症
小儿脑膜炎球菌性肾上腺综合征,another_names,小儿华-佛综合征
小儿脑膜炎球菌性肾上腺综合征,another_names,小儿急性肾上腺皮质功能减退症
小儿脑膜炎球菌性肾上腺综合征,another_names,小儿急性肾上腺皮质功能衰竭
小儿脑膜炎球菌性肾上腺综合征,another_names,小儿急性肾上腺危象
性欲亢进,another_names,性欲过盛
性欲亢进,another_names,性欲过旺
葡萄球菌中毒性休克综合征,another_names,葡萄球菌中毒性休克综合症
子宫内膜异位症,another_names,子宫腺肌病
子宫内膜异位症,another_names,内在性子宫内膜异位症
不孕症,another_names,不孕不育
不孕症,another_names,不孕
不孕症,another_names,女性不孕
性冷淡,another_names,性欲减退
宫外孕,another_names,异位妊娠
生殖器疱疹,another_names,阴部疱疹
细菌性阴道炎,another_names,阴道炎
细菌性阴道炎,another_names,细菌性阴道病
细菌性阴道炎,another_names,非特异性阴道炎
包皮龟头炎,another_names,包皮炎
包皮龟头炎,another_names,包皮阴茎头炎
艾滋病,another_names,获得性免疫缺陷综合征
小儿阿托品类中毒,another_names,小儿阿托品中毒
早泄,another_names,泄泻
阴茎前阴囊,another_names,阴茎阴囊转位
阳痿,another_names,勃起功能障碍
阳痿,another_names,勃起机能障碍
阳痿,another_names,勃起无力
阳痿,another_names,阳萎
阳痿,another_names,勃起不足
小儿播散性脂肪肉芽肿综合征,another_names,小儿Farber脂肪肉芽肿
小儿播散性脂肪肉芽肿综合征,another_names,小儿播散性类脂肉芽肿病
小儿播散性脂肪肉芽肿综合征,another_names,小儿播散性脂肪肉芽肿综合症
小儿播散性脂肪肉芽肿综合征,another_names,小儿播散性脂质肉芽肿病
小儿播散性脂肪肉芽肿综合征,another_names,小儿低血色素性贫血综合征
小儿播散性脂肪肉芽肿综合征,another_names,小儿法伯尔氏综合征
小儿播散性脂肪肉芽肿综合征,another_names,小儿法伯尔综合征
小儿播散性脂肪肉芽肿综合征,another_names,小儿神经酰胺沉积病
小儿播散性脂肪肉芽肿综合征,another_names,小儿胃液缺乏性贫血
铜绿色假单胞菌脑膜炎,another_names,绿脓杆菌脑膜炎
铜绿色假单胞菌脑膜炎,another_names,绿脓假单胞菌脑膜炎
铜绿色假单胞菌脑膜炎,another_names,铜绿假单胞菌脑膜炎
小儿触电与雷击,another_names,儿童触电与雷击
婴儿肉毒中毒综合征,another_names,婴儿肉毒中毒综合症
婴儿肉毒中毒综合征,another_names,婴儿型肉毒中毒
小儿水杨酸盐类中毒,another_names,儿童水杨酸盐类中毒
小儿片吸虫病,another_names,小儿肝片吸虫病
克里米亚-刚果出血热,another_names,克里米亚-新疆出血热
溶组织内阿米巴病,another_names,痢疾阿米巴病
致肠细胞病变人孤儿病毒感染,another_names,埃可病毒感染
致肠细胞病变人孤儿病毒感染,another_names,肠性细胞致病性人类孤独型病毒感染
致肠细胞病变人孤儿病毒感染,another_names,人肠道致细胞病变孤儿病毒感染
腹腔肺吸虫病,another_names,腹腔并殖吸虫病
立氏立克次体斑疹热,another_names,立克氏立克次氏体斑疹热
立氏立克次体斑疹热,another_names,落矶山斑疹热
立氏立克次体斑疹热,another_names,落基山斑点热
立氏立克次体斑疹热,another_names,蜱传斑疹伤寒
战壕热,another_names,五日热
战壕热,another_names,胫骨热
战壕热,another_names,马斯热
战壕热,another_names,华伦热
肉痹,another_names,肌痹
振栗,another_names,战栗  鼓栗
肢骨纹状肥大,another_names,骨熔烛样病
肢骨纹状肥大,another_names,腊泪样骨病
肢骨纹状肥大,another_names,单肢型烛泪样骨质增生症
肢骨纹状肥大,another_names,Leri型骨质硬化症
小儿发育性髋脱位,another_names,小儿发育性髋关节脱位
二尖瓣和主动脉瓣的疾患,another_names,二尖瓣和主动脉瓣双病变
苏格兰脑炎,another_names,羊跳跃病
西方马型脑炎,another_names,西部马脑炎
西方马型脑炎,another_names,西方马脑炎
急性感染性心内膜炎,another_names,心内膜炎
巨吻棘头虫病,another_names,棘头虫病
巨吻棘头虫病,another_names,猪巨吻棘头虫病
透明丝孢霉病,another_names,明色丝菌病
小儿其他沙门菌感染,another_names,小儿非伤寒沙门菌感染
羌虫病,another_names,丛林型斑疹伤寒
羌虫病,another_names,红虫病
小儿丁型病毒性肝炎,another_names,小儿丁肝
小儿埃博拉病毒病,another_names,小儿埃波拉出血热
小儿埃博拉病毒病,another_names,小儿埃博拉病毒性疾病
小儿埃博拉病毒病,another_names,小儿埃博拉出血热
前列腺异位,another_names,异位前列腺
嵌顿包茎,another_names,包皮嵌顿
男性青春期发育延迟,another_names,男性青春延迟
阴茎阴囊象皮肿,another_names,阴茎阴囊橡皮肿
阴茎折断,another_names,阴茎海绵体破裂
先天性无阴道,another_names,阴道畸形
前庭大腺炎,another_names,巴多林腺炎 
染色体异常,another_names,染色体病
染色体异常,another_names,染色体发育不全
染色体异常,another_names,染色体畸变
少精症,another_names,少精子症
少精症,another_names,精子减少症、精子稀薄症
非性病性梅毒,another_names,贝吉病
非性病性梅毒,another_names,地方性梅毒
非性病性梅毒,another_names,非性病梅毒
真两性畸形,another_names,真两性体
子宫脱垂,another_names,子宫脱出
男性假两性畸形,another_names,睾丸女性化综合征
男性假两性畸形,another_names,男性假两性同体
死精症,another_names,无子
死精症,another_names,死精子过多
死精症,another_names,精子畸形性不育症
死精症,another_names,精子活力低下症
先天性睾丸发育不全,another_names,克氏综合症
先天性睾丸发育不全,another_names,曲细精管发育不全
先天性睾丸发育不全,another_names,原发小睾丸症
双阴茎,another_names,重复阴茎
