illness_name,regular_medication,medication_name
性兴奋障碍,Treatment_of_department,前列回春胶囊
性兴奋障碍,Treatment_of_department,龟鹿补肾丸
附睾结核,Treatment_of_department,利福喷丁胶囊
附睾结核,Treatment_of_department,盐酸乙胺丁醇片
附睾结核,Treatment_of_department,康复新液
甲型副伤寒,Treatment_of_department,氯霉素片
布-加综合征,Treatment_of_department,醋酸奥曲肽注射液
布-加综合征,Treatment_of_department,复方丹参片
泌尿生殖系放线菌病,Treatment_of_department,琥乙红霉素胶囊
泌尿生殖系放线菌病,Treatment_of_department,诺氟沙星胶囊
泌尿生殖系放线菌病,Treatment_of_department,复方泛影葡胺注射液
夸赛纳森林病,Treatment_of_department,清火栀麦胶囊
夸赛纳森林病,Treatment_of_department,开喉剑喷雾剂
科罗拉多蜱热,Treatment_of_department,转移因子口服溶液
科罗拉多蜱热,Treatment_of_department,盐酸小檗胺片
肺芽生菌病,Treatment_of_department,伊曲康唑胶囊
肺芽生菌病,Treatment_of_department,氟康唑片
乙胺嘧啶中毒,Treatment_of_department,注射用鼠神经生长因子
乙胺嘧啶中毒,Treatment_of_department,多烯磷脂酰胆碱注射液
西伯利亚立克次体斑疹热,Treatment_of_department,氯霉素片
西伯利亚立克次体斑疹热,Treatment_of_department,四环素片
自身免疫性肝病,Treatment_of_department,醋酸泼尼松片
自身免疫性肝病,Treatment_of_department,雷公藤多苷片
加利福尼亚脑炎,Treatment_of_department,羚羊角口服液
加利福尼亚脑炎,Treatment_of_department,牛磺酸颗粒
小儿利斯特菌病,Treatment_of_department,注射用克林霉素磷酸酯
小儿利斯特菌病,Treatment_of_department,诺氟沙星胶囊
弗郎西丝菌肺炎,Treatment_of_department,复方蒲芩胶囊
弗郎西丝菌肺炎,Treatment_of_department,克拉霉素片
阴茎癌,Treatment_of_department,复方环磷酰胺片
阴茎癌,Treatment_of_department,注射用盐酸平阳霉素
阴茎癌,Treatment_of_department,乌苯美司胶囊
左精索静脉曲张,Treatment_of_department,迈之灵片
生殖器念珠菌病,Treatment_of_department,克霉唑阴道泡腾片
生殖器念珠菌病,Treatment_of_department,醋酸曲安奈德益康唑乳膏
生殖器念珠菌病,Treatment_of_department,氯碘羟喹乳膏
卵巢早衰,Treatment_of_department,卵泡刺激素(FSH)测定试剂盒(胶体金法)
卵巢早衰,Treatment_of_department,黄体酮注射液
蝎螫伤,Treatment_of_department,云南蛇药
蝎螫伤,Treatment_of_department,注射用鼠神经生长因子
蝎螫伤,Treatment_of_department,多烯磷脂酰胆碱注射液
五氯酚钠中毒,Treatment_of_department,注射用鼠神经生长因子
毛圆线虫病,Treatment_of_department,甲苯咪唑片
毛圆线虫病,Treatment_of_department,盐酸左旋咪唑糖浆
毛圆线虫病,Treatment_of_department,阿苯达唑颗粒
小儿亚硝酸盐中毒,Treatment_of_department,亚甲蓝注射液
非01霍乱弧菌肠炎,Treatment_of_department,普卢利沙星胶囊
非01霍乱弧菌肠炎,Treatment_of_department,盐酸环丙沙星片
非01霍乱弧菌肠炎,Treatment_of_department,盐酸左氧氟沙星片
利斯特菌脑膜炎,Treatment_of_department,氯霉素片
利斯特菌脑膜炎,Treatment_of_department,注射用青霉素钠
利斯特菌脑膜炎,Treatment_of_department,氯霉素胶囊
小儿脑膜炎球菌性肾上腺综合征,Treatment_of_department,A群C群脑膜炎球菌多糖结合疫苗
小儿脑膜炎球菌性肾上腺综合征,Treatment_of_department,注射用头孢噻肟钠
性欲亢进,Treatment_of_department,甲亢灵胶囊
性欲亢进,Treatment_of_department,醋酸环丙孕酮片
性欲亢进,Treatment_of_department,抑亢丸
无机磷中毒,Treatment_of_department,注射用鼠神经生长因子
葡萄球菌中毒性休克综合征,Treatment_of_department,麦迪霉素片
